BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199507,12,1345,199507,12,1345,,10314428,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",3,"BALDWIN",,"12-JUL-95 13:45:00","CST","12-JUL-95 13:45:00","0","0","0","0","1.5K","0",,"0",,,,,"0","0",,,,,,,"Mobile Bay",,,,,,,,,"Power poles and power lines were blown down near the Tensaw River east of causeway bridge.  A citizen reported a white wall of water.","CSV"
199503,15,1310,199503,15,1310,,10313843,"ALABAMA",1,1995,"March","Hail","C",97,"MOBILE",,"15-MAR-95 13:10:00","CST","15-MAR-95 13:10:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,,"E","Mobile",,,,,,,,,"Dime-size hail was reported along Interstate 10 near exit 27 Bayway near the USS Alabama.","CSV"
199504,21,205,199504,21,205,,10313844,"ALABAMA",1,1995,"April","Thunderstorm Wind","C",97,"MOBILE",,"21-APR-95 02:05:00","CST","21-APR-95 02:05:00","0","0","0","0",".5K","0",,"0",,,,,"0","0",,,,,,,"Citronelle",,,,,,,,,"Several trees were blown down in north Mobile County near Citronelle.","CSV"
199505,10,40,199505,10,40,,10313847,"ALABAMA",1,1995,"May","Tornado","C",97,"MOBILE",,"10-MAY-95 00:40:00","CST","10-MAY-95 00:40:00","0","0","0","0","0","0",,"0",,,,"F0",".1","50",,,,,,"N","Grand Bay",,,,"30.50","-88.35",,,,"A tornado was reported near the eleven mile marker two miles north of Grand Bay.  No damage was reported from the tornado.","CSV"
199505,10,325,199505,10,325,,10313848,"ALABAMA",1,1995,"May","Hail","C",97,"MOBILE",,"10-MAY-95 03:25:00","CST","10-MAY-95 03:25:00","0","0","0","0",".3K","0",,"1.00",,,,,"0","0",,,,,,,"Dauphin Is.",,,,,,,,,",,,,,,,,Thunderstorm Winds One-inch hail and wind gusts to 60 mph were reported on Dauphin Island.","CSV"
199505,15,1355,199505,15,1355,,10313850,"ALABAMA",1,1995,"May","Thunderstorm Wind","C",117,"SHELBY",,"15-MAY-95 13:55:00","CST","15-MAY-95 13:55:00","0","0","0","0","0","0",,"0",,,,,"0","0",,,,,,,,,"NW","Chelsea",,,,,,"Approximately 150 trees were blown down at the Greystone Country Club in northern Shelby County.  Large trees were blown down in the Chelsea area of Shelby County.","CSV"
199505,15,1402,199505,15,1402,,10313851,"ALABAMA",1,1995,"May","Thunderstorm Wind","C",117,"SHELBY",,"15-MAY-95 14:02:00","CST","15-MAY-95 14:02:00","0","0","0","0",".2K","0",,"0",,,,,"0","0",,,,,,,"Chelsea",,,,,,,,,"Approximately 150 trees were blown down at the Greystone Country Club in northern Shelby County.  Large trees were blown down in the Chelsea area of Shelby County.","CSV"
199504,11,1005,199504,11,1005,,10313849,"ALABAMA",1,1995,"April","Thunderstorm Wind","C",117,"SHELBY",,"11-APR-95 10:05:00","CST","11-APR-95 10:05:00","0","0","0","0","22K","0",,"60",,,,,"0","0",,,,,,"SE","Shelby",,,,,,,,,"A mobile home was completely deroofed and two other mobile homes were damaged in extreme southeast Shelby County about six miles southeast of Shelby.  There were no injuries.  Based on a storm survey and reports witnesses, it was most likely a straight-line wind event.","CSV"
199510,27,1449,199510,27,1449,,10314040,"ALABAMA",1,1995,"October","Thunderstorm Wind","C",123,"TALLAPOOSA",,"27-OCT-95 14:49:00","CST","27-OCT-95 14:49:00","0","0","0","0","15K","0",,"50",,,,,"0","0",,,,,,,"New Site",,,,,,,,,"Thunderstorm wind that sounded like a freight train according to witnesses caused some property damage in the Simpson community just northeast of New Site in northeast Tallapoosa County.  Trees were blown down, a roof was taken off a barn,  antennas were downed, shingles were taken off several roofs, and one porch was damaged.","CSV"
199506,6,1950,199506,6,1950,,10313853,"ALABAMA",1,1995,"June","Hail","C",117,"SHELBY",,"06-JUN-95 19:50:00","CST","06-JUN-95 19:50:00","0","0","0","0","0","0",,".88",,,,,"0","0",,,,,,,"Siluria",,,,,,,,,"Hail from one-half to three-quarters of an inch fell at Helena and Alabaster in west-central Shelby County.  Nickel-size hail fell at Siluria immediately east of Alabaster.  Four large trees up to two feet in diameter were downed in the Scottsdale Subdivision of Alabaster.  Wind gusted to 54 mph at the National Weather Service Forecast Office at the Shelby County airport on the south side of Alabaster.","CSV"
199504,11,1130,199504,11,1130,,10314037,"ALABAMA",1,1995,"April","Thunderstorm Wind","C",123,"TALLAPOOSA",,"11-APR-95 11:30:00","CST","11-APR-95 11:30:00","1","0","0","0","0","0",,"0",,,,,"0","0",,,,,,"SSW","Dadeville",,,,,,,,,"An employee of the Still Waters Resort on Lake Martin was injured when the top of a tree was broken off by strong wind.  The broken portion of the tree landed where two or three employees were standing.  One employee was struck in the head by the falling tree and required hospitalization.  Several other trees in the area were blown down by the wind, but no property damage was reported.","CSV"
199507,3,1355,199507,3,1355,,10314038,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",123,"TALLAPOOSA",,"03-JUL-95 13:55:00","CST","03-JUL-95 13:55:00","0","0","0","0","3K","0",,"0",,,,,"0","0",,,,,,,"Camp Hill",,,,,,,,,"Trees and power lines were reported down by state troopers in the Camp Hill area of southeast Tallapoosa County.","CSV"
199508,19,2110,199508,19,2125,,10314039,"ALABAMA",1,1995,"August","Thunderstorm Wind","C",123,"TALLAPOOSA",,"19-AUG-95 21:10:00","CST","19-AUG-95 21:25:00","0","0","0","0","50K","0",,"0",,,,,"0","0",,,,,,"S","Alexander City",,"SE","Alexander City",,,,,,"Thunderstorm wind caused damage across the northern section of Lake Martin in the area from south of Alexander City to southeast of Alexander City including the communities of Our Town and Walnut Hill.  About 4,200 electric customers were without power as power lines and trees came down.  Damage was reported as extensive at Chuck's Marina on the east side of Lake Martin.","CSV"
199506,6,1940,199506,6,1945,,10313852,"ALABAMA",1,1995,"June","Hail","C",117,"SHELBY",,"06-JUN-95 19:40:00","CST","06-JUN-95 19:45:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,,,"Helena",,,"Alabaster",,,,,,"Hail from one-half to three-quarters of an inch fell at Helena and Alabaster in west-central Shelby County.  Nickel-size hail fell at Siluria immediately east of Alabaster.  Four large trees up to two feet in diameter were downed in the Scottsdale Subdivision of Alabaster.  Wind gusted to 54 mph at the National Weather Service Forecast Office at the Shelby County airport on the south side of Alabaster.","CSV"
199511,11,630,199511,11,630,,10314041,"ALABAMA",1,1995,"November","Thunderstorm Wind","C",123,"TALLAPOOSA",,"11-NOV-95 06:30:00","CST","11-NOV-95 06:30:00","0","0","0","0","12K","0",,"0",,,,,"0","0",,,,,,,"Dadeville",,,,,,,,,"Wind with a thunderstorm downed trees and power lines in the city of Dadeville.","CSV"
199507,3,1611,199507,3,1611,,10314234,"ALABAMA",1,1995,"July","Hail","C",73,"JEFFERSON",,"03-JUL-95 16:11:00","CST","03-JUL-95 16:11:00","0","0","0","0","2K","0",,"1.00",,,,,"0","0",,,,,,,"Hoover",,,,,,,,,"Three-quarters inch hail was reported at Oxmoor Valley Golf Club in Homewood.  One inch hail was reported in the Trace Crossings area of Hoover just south of Interstate 459.  Three to four trees were also reported down in Hoover. Dime to golf ball-size hail was reported in Pinson lasting about seven minutes.","CSV"
199504,20,1451,199504,20,1451,,10314243,"ALABAMA",1,1995,"April","Hail","C",75,"LAMAR",,"20-APR-95 14:51:00","CST","20-APR-95 14:51:00","0","0","0","0","0","0",,"1.00",,,,,"0","0",,,,,,"W","Sulligent",,,,,,,,,"Quarter-size hail was reported three miles west of Sulligent.","CSV"
199507,12,1420,199507,12,1420,,10314429,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",3,"BALDWIN",,"12-JUL-95 14:20:00","CST","12-JUL-95 14:20:00","0","0","0","0",".5K","0",,"0",,,,,"0","0",,,,,,,"Foley",,,,,,,,,"A roof and canopy were peeled back from the front of a building by the wind in Foley.","CSV"
199508,16,1830,199508,16,1830,,10314430,"ALABAMA",1,1995,"August","Thunderstorm Wind","C",3,"BALDWIN",,"16-AUG-95 18:30:00","CST","16-AUG-95 18:30:00","0","0","0","0","2K","0",,"0",,,,,"0","0",,,,,,,"Daphne",,,,,,,,,"Several trees were blown down by high winds in the Daphne area.","CSV"
199512,18,1100,199512,18,1100,,10314431,"ALABAMA",1,1995,"December","Thunderstorm Wind","C",3,"BALDWIN",,"18-DEC-95 11:00:00","CST","18-DEC-95 11:00:00","0","0","0","0","2K","0",,"0",,,,,"0","0",,,,,,,"Robertsdale",,,,,,,,,"Trees and power lines were blown down in the Robertsdale area.","CSV"
199504,21,15,199504,21,15,,10314432,"ALABAMA",1,1995,"April","Thunderstorm Wind","C",25,"CLARKE",,"21-APR-95 00:15:00","CST","21-APR-95 00:15:00","0","0","0","0","1K","0",,"0",,,,,"0","0",,,,,,"NW","Jackson",,,,,,,,,"Trees and power lines were blown down along CR 3, five miles northwest of Jackson.","CSV"
199504,21,121,199504,21,121,,10314433,"ALABAMA",1,1995,"April","Thunderstorm Wind","C",25,"CLARKE",,"21-APR-95 01:21:00","CST","21-APR-95 01:21:00","1","0","0","0","5K","0",,"0",,,,,"0","0",,,,,,,"Jackson",,,,,,,,,"Trees were blown down just northeast of Jackson along County Road 10.  A tree was blown onto a mobile home damaging the mobile home and injuring an occupant.","CSV"
199504,20,1948,199504,20,1948,,10314050,"ALABAMA",1,1995,"April","Thunderstorm Wind","C",93,"MARION",,"20-APR-95 19:48:00","CST","20-APR-95 19:48:00","0","0","0","0","15K","0",,"60",,,,,"0","0",,,,,,"E","Hamilton",,,,,,,,,"Numerous trees were downed and a mobile home was severely damaged by a downburst wind.  The damage path began on the south side of U.S. 278 at the intersection with State Highway 129 near a community called Haleys and extended northward for about a mile.","CSV"
199504,30,2250,199504,30,2250,,10314051,"ALABAMA",1,1995,"April","Hail","C",93,"MARION",,"30-APR-95 22:50:00","CST","30-APR-95 22:50:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,,,"Guin",,,,,,,,,"Dime-size hail was reported by the Guin Police Department.","CSV"
199510,27,1345,199510,27,1345,,10314437,"ALABAMA",1,1995,"October","Hail","C",25,"CLARKE",,"27-OCT-95 13:45:00","CST","27-OCT-95 13:45:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,,"W","Grove Hill",,,,,,,,,"Dime-size hail was reported along U.S. Highway 84 west of Grove hill near the city of Zimco.","CSV"
199512,18,1530,199512,18,1530,,10314438,"ALABAMA",1,1995,"December","Thunderstorm Wind","C",25,"CLARKE",,"18-DEC-95 15:30:00","CST","18-DEC-95 15:30:00","0","0","0","0","50K","0",,"0",,,,,"0","0",,,,,,,"Manila and Gosport",,,,,,,,,"High winds blew shingles from 10 homes in Wrights Corner which is near Manilla.  Several trees were also blown down.  A roof was also damaged by high winds near Gosport.  Trees and power lines were also blown down.  No injuries were reported at either location.","CSV"
199507,8,1435,199507,8,1500,,10314439,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",25,"CLARKE AND WASHINGTON",,"08-JUL-95 14:35:00","CST","08-JUL-95 15:00:00","0","0","0","0","2.5K","0",,"0",,,,,"0","0",,,,,,,,,,,,,,,,"Trees and power lines were blown down by high winds throughout both Washington and Clarke counties.  Most of the damage was three or four trees along with power lines blown down at a time in different parts of the counties.","CSV"
199507,4,2010,199507,4,2010,,10314055,"ALABAMA",1,1995,"July","Hail","C",93,"MARION",,"04-JUL-95 20:10:00","CST","04-JUL-95 20:10:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,,,"Hamilton",,,,,,,,,"About ten trees were reported down along Highway 10 in the southwest part of Marion County.  Hail about the size of dimes was reported in Hamilton.  Several trees were down on Highway 44 between Twin and Brilliant.  A funnel cloud was reported near Whitehouse about 15 miles east of Hamilton.","CSV"
199507,26,1323,199507,26,1323,,10314057,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",93,"MARION",,"26-JUL-95 13:23:00","CST","26-JUL-95 13:23:00","0","0","0","0","5K","0",,"0",,,,,"0","0",,,,,,,"Guin/Winfield",,,,,,,,,"Trees and power lines were reported down in the Guin and Winfield area of southern Marion County.","CSV"
199507,4,2015,199507,4,2015,,10314056,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",93,"MARION",,"04-JUL-95 20:15:00","CST","04-JUL-95 20:15:00","0","0","0","0","3K","0",,"0",,,,,"0","0",,,,,,,"Brilliant",,,,,,,,,"About ten trees were reported down along Highway 10 in the southwest part of Marion County.  Hail about the size of dimes was reported in Hamilton.  Several trees were down on Highway 44 between Twin and Brilliant.  A funnel cloud was reported near Whitehouse about 15 miles east of Hamilton.","CSV"
199503,7,1940,199503,7,1940,,10314444,"ALABAMA",1,1995,"March","Hail","C",27,"CLAY",,"07-MAR-95 19:40:00","CST","07-MAR-95 19:40:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,,,"Millerville",,,,,,,,,"Dime-size hail was reported at Millerville in the southwest part of Clay County.","CSV"
199505,15,1423,199505,15,1423,,10314445,"ALABAMA",1,1995,"May","Thunderstorm Wind","C",27,"CLAY",,"15-MAY-95 14:23:00","CST","15-MAY-95 14:23:00","0","0","0","0",".1M","0",,"0",,,,,"0","0",,,,,,,"Lineville",,,,,,,,,"Thunderstorm wind destroyed a maintenance building and a tire company building in the Lineville Industrial Park South.  A house on Highway 9 east of Ashland was heavily damaged when a large tree fell on it.  Several mobile homes in the area sustained light to moderate damage.","CSV"
199506,6,1954,199506,6,1954,,10313854,"ALABAMA",1,1995,"June","Thunderstorm Wind","C",117,"SHELBY",,"06-JUN-95 19:54:00","CST","06-JUN-95 19:54:00","0","0","0","0","0","0",,"47",,,,,"0","0",,,,,,,"Alabaster",,,,,,,,,"Hail from one-half to three-quarters of an inch fell at Helena and Alabaster in west-central Shelby County.  Nickel-size hail fell at Siluria immediately east of Alabaster.  Four large trees up to two feet in diameter were downed in the Scottsdale Subdivision of Alabaster.  Wind gusted to 54 mph at the National Weather Service Forecast Office at the Shelby County airport on the south side of Alabaster.","CSV"
199504,30,2226,199504,30,2226,,10314248,"ALABAMA",1,1995,"April","Hail","C",75,"LAMAR",,"30-APR-95 22:26:00","CST","30-APR-95 22:26:00","0","0","0","0","0","0",,"1.00",,,,,"0","0",,,,,,,"Detroit",,,,,,,,,"Quarter-size hail was reported by the fire department at Detroit in the northwest corner of Lamar County.","CSV"
199505,10,1526,199505,10,1526,,10314249,"ALABAMA",1,1995,"May","Hail","C",75,"LAMAR",,"10-MAY-95 15:26:00","CST","10-MAY-95 15:26:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,,,"Kennedy",,,,,,,,,"Half to three-quarter inch hail was reported at Kennedy.","CSV"
199507,4,2012,199507,4,2012,,10314250,"ALABAMA",1,1995,"July","Tornado","C",75,"LAMAR",,"04-JUL-95 20:12:00","CST","04-JUL-95 20:12:00","0","0","0","0","0","0",,"0",,,,"F0",".5","80",,,,,,"E","Detroit",,,,"34.03","-88.17",,,,"A tornado was reported at Henson Springs in northern Lamar County.  The tornado occurred in the open with no damage reported.","CSV"
199507,4,1345,199507,4,1345,,10313856,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",117,"SHELBY",,"04-JUL-95 13:45:00","CST","04-JUL-95 13:45:00","0","0","0","0","2K","0",,"0",,,,,"0","0",,,,,,"NE","Pelham",,,,,,,,,"Several trees were reported down in the Indian Springs area about five miles northeast of Pelham in northern Shelby County.","CSV"
199508,8,1500,199508,8,1500,,10313857,"ALABAMA",1,1995,"August","Thunderstorm Wind","C",117,"SHELBY",,"08-AUG-95 15:00:00","CST","08-AUG-95 15:00:00","0","0","0","0","3K","0",,"0",,,,,"0","0",,,,,,,"Vincent",,,,,,,,,"Thunderstorm wind blew down several trees in the Vincent area downing several power lines.  Small hail was also reported in the Westover area by the Shelby County Sheriff's Department.","CSV"
199502,16,351,199502,16,353,,10314058,"ALABAMA",1,1995,"February","Thunderstorm Wind","C",93,"MARION AND WINSTON",,"16-FEB-95 03:51:00","CST","16-FEB-95 03:53:00","0","0","0","0","5K",".5K",,"70",,,,,"0","0",,,,,,,,,"SSW","Haleyville",,,,,,"Trees were downed in what appeared to be a downburst beginning about a half mile inside Marion County moving east-northeast for about a mile into Winston County.  Five homes were damaged in the Winston County portion of the damage area near the Delmar community.  Two chicken houses and a pickup truck were also damaged besides trees and power lines.  The hardest hit area was about two miles west of the Delmar community in extreme western Winston County.","CSV"
199501,6,1415,199501,6,1430,,10314449,"ALABAMA",1,1995,"January","Hail","C",49,"DEKALB",,"06-JAN-95 14:15:00","CST","06-JAN-95 14:30:00","0","0","0","0","0","0",,".00",,,,,"0","0",,,,,,,"Fort Payne",,,,,,,,,"Small hail reported as pea-size fell in Fort Payne along with wind gusts around 40 to 45 mph according to emergency management officials.","CSV"
199502,16,515,199502,16,515,,10314450,"ALABAMA",1,1995,"February","Hail","C",49,"DEKALB",,"16-FEB-95 05:15:00","CST","16-FEB-95 05:15:00","0","0","0","0","0","0",,"1.75",,,,,"0","0",,,,,,,"Oak Grove",,,,,,,,,"Golf ball-size hail was reported at Oak Grove.","CSV"
199506,6,1955,199506,6,1955,,10313855,"ALABAMA",1,1995,"June","Hail","C",117,"SHELBY",,"06-JUN-95 19:55:00","CST","06-JUN-95 19:55:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,,,,,,,,,,,,"Hail from one-half to three-quarters of an inch fell at Helena and Alabaster in west-central Shelby County.  Nickel-size hail fell at Siluria immediately east of Alabaster.  Four large trees up to two feet in diameter were downed in the Scottsdale Subdivision of Alabaster.  Wind gusted to 54 mph at the National Weather Service Forecast Office at the Shelby County airport on the south side of Alabaster.","CSV"
199505,15,1240,199505,15,1300,,10313859,"ALABAMA",1,1995,"May","Thunderstorm Wind","C",127,"WALKER",,"15-MAY-95 12:40:00","CST","15-MAY-95 13:00:00","0","0","0","0","40K","0",,"60",,,,,"0","0",,,,,,,"Northeast and",,,"East-Central",,,,,,"Thunderstorm wind uprooted trees, downed power lines, and caused roof damage to several structures primarily in the northeast and east-central sections of Walker County.  The communities of Curry, Sipsey, Jasper, and Sumiton were affected by the storm.  A church in the Smith Lake area lost its steeple in the wind.","CSV"
199507,13,1945,199507,13,2005,,10314254,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",75,"LAMAR",,"13-JUL-95 19:45:00","CST","13-JUL-95 20:05:00","0","0","0","0","45K","0",,"0",,,,,"0","0",,,,,,,"Sulligent",,,,,,,,,"Trees were reported down between Fernbank and Millport in southern Lamar County.  Half dollar to golf ball-size hail along with smaller hail was reported at Crossville in eastern Lamar County.  Dime-size hail was reported at Vernon.  Trees were downed in Sulligent including at least one that fell onto a mobile home.  Several trees fell on cars on Mulberry Road south of Sulligent and about three-fourths of the city was without power at one time.","CSV"
199504,11,1015,199504,11,1015,,10314454,"ALABAMA",1,1995,"April","Tornado","C",51,"ELMORE",,"11-APR-95 10:15:00","CST","11-APR-95 10:15:00","0","0","0","0","25K","0",,"0",,,,"F1","4","100",,,,,,"WSW","Elmore",,,,"32.52","-86.37","32.53","-86.30",,"What appeared to be a small tornado damaged a section of Elmore County from Millbrook to Elmore in the western part of the county.  The area affected paralleled Highway 14.  Aluminum skirting was ripped off about 20 mobile homes at one mobile home park, and numerous trees and power lines were downed in the area.","CSV"
199503,7,1710,199503,7,1710,,10314063,"ALABAMA",1,1995,"March","Tornado","C",103,"MORGAN",,"07-MAR-95 17:10:00","CST","07-MAR-95 17:10:00","0","0","0","0","50K","0",,"0",,,,"F0","1","80",,,,,,,"Lacey's Springs",,,,"34.53","-86.60",,,,"Thunderstorm winds blew the roof off one house and damaged a barn at Eva.  What was believed to be a small tornado touched down on Highway 36 just west of Lacey's Springs damaging a house, a barn, and a shed as well as downing numerous trees and power lines.  Near Cotaco, thunderstorm winds downed trees and damaged one house.","CSV"
199508,8,1505,199508,8,1505,,10313858,"ALABAMA",1,1995,"August","Hail","C",117,"SHELBY",,"08-AUG-95 15:05:00","CST","08-AUG-95 15:05:00","0","0","0","0","0","0",,".30",,,,,"0","0",,,,,,,"Westover",,,,,,,,,"Thunderstorm wind blew down several trees in the Vincent area downing several power lines.  Small hail was also reported in the Westover area by the Shelby County Sheriff's Department.","CSV"
199507,12,1705,199507,12,1705,,10313862,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",127,"WALKER",,"12-JUL-95 17:05:00","CST","12-JUL-95 17:05:00","0","0","0","0","12K","0",,"0",,,,,"0","0",,,,,,,"Sumiton",,,,,,,,,"Trees were downed and roof damage was reported at Sumiton in eastern Walker County.","CSV"
199509,1,1500,199509,1,1500,,10313863,"ALABAMA",1,1995,"September","Thunderstorm Wind","C",127,"WALKER",,"01-SEP-95 15:00:00","CST","01-SEP-95 15:00:00","0","0","0","0","2K","0",,"0",,,,,"0","0",,,,,,,"Parrish",,,,,,,,,"Several trees were downed by the wind in the Parrish area of central Walker County.  One tree fell on a church damaging the roof and allowing water from heavy rain to cause additional damage.","CSV"
199507,5,1715,199507,5,1715,,10313861,"ALABAMA",1,1995,"July","Thunderstorm Wind","C",127,"WALKER",,"05-JUL-95 17:15:00","CST","05-JUL-95 17:15:00","0","0","0","0","85K","0",,"0",,,,,"0","0",,,,,,,"Townley",,,,,,,,,"Thunderstorm wind downed trees and damaged the roof on the volunteer fire department building in Townley.  A church sustained minor damage and the bleachers at the Townley School were blown over.  One house behind the post office had five trees fall on it.  Funnel clouds were reported in many places in and around the Jasper area, however, there was no evidence that any of them had touched down.","CSV"
